,source,postcode,house_is,property_subtype,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,facades_number,price
2004,6,1200,HOUSE,HOUSE,3.0,5.303304908059076,True,False,False,True,2.3978952727983707,True,3.58351893845611,5.135798437050262,False,B,to_renovate,3.0,790000.0
2005,6,8000,HOUSE,MANSION,3.0,5.8998973535824915,True,False,False,False,0.0,False,0.0,4.882801922586371,False,F,good,2.0,849000.0
2006,6,1050,HOUSE,HOUSE,6.0,5.736572297479192,True,False,True,True,1.791759469228055,False,0.0,5.402677381872279,False,B,to_renovate,3.0,1650000.0
2007,6,1090,HOUSE,VILLA,7.0,7.038783541388542,True,False,False,True,3.912023005428146,True,7.313220387090301,7.5766097669730375,True,B,good,4.0,2260000.0
2008,6,5580,HOUSE,HOUSE,4.0,5.056245805348308,True,False,False,True,0.0,False,0.0,6.293419278846481,False,W,renovated,3.0,169000.0
2009,6,9999,HOUSE,VILLA,4.0,4.844187086458591,True,False,False,False,0.0,True,6.856461984594587,6.907755278982137,False,W,good,4.0,189000.0
2010,6,9999,HOUSE,HOUSE,3.0,5.10594547390058,True,False,True,False,0.0,True,5.521460917862246,5.521460917862246,False,W,good,3.0,200000.0
2011,6,7700,HOUSE,HOUSE,4.0,5.272999558563747,True,False,False,True,0.0,True,5.3471075307174685,5.814130531825066,False,W,renovated,3.0,209000.0
2012,6,1745,HOUSE,HOUSE,2.0,5.1647859739235145,True,False,False,True,0.0,True,5.69035945432406,6.016157159698354,False,F,to_renovate,3.0,269000.0
2013,6,1410,HOUSE,HOUSE,4.0,5.075173815233827,True,False,True,True,3.4011973816621555,True,5.991464547107982,6.327936783729195,False,W,renovated,3.0,499000.0
2014,6,1780,HOUSE,EXCEPTIONAL_PROPERTY,3.0,5.075173815233827,True,False,True,True,3.5553480614894135,True,5.521460917862246,6.0867747269123065,False,F,renovated,4.0,499000.0
2015,6,1970,HOUSE,HOUSE,4.0,5.521460917862246,True,False,True,True,3.4657359027997265,True,6.131226489483141,6.327936783729195,False,F,to_renovate,3.0,520000.0
